Bought:, 4/28/2015 12:00:00 AM, 96.27, 97.09, 95.36, 96.86, Sold:, 5/1/2015 12:00:00 AM, 95.90, 101.49, 95.65, 99.82, Low:, 95.36, Value:, 446.00
Bought:, 5/5/2015 12:00:00 AM, 101.05, 101.97, 98.82, 99.16, Sold:, 5/8/2015 12:00:00 AM, 100.34, 100.76, 99.48, 99.62, Low:, 98.43, Value:, 100.00
Bought:, 5/11/2015 12:00:00 AM, 99.31, 99.95, 98.99, 99.10, Sold:, 5/13/2015 12:00:00 AM, 99.88, 100.35, 98.73, 99.18, Low:, 97.94, Value:, 100.00
Bought:, 5/15/2015 12:00:00 AM, 100.50, 100.73, 99.56, 100.64, Sold:, 5/18/2015 12:00:00 AM, 100.25, 102.59, 100.25, 102.14, Low:, 99.56, Value:, 258.00

 Bought:, 5/20/2015 12:00:00 AM, 102.12, 102.40, 101.08, 101.32
 Last:, 5/28/2015 12:00:00 AM, 101.26, 101.71, 99.91, 100.82
Daily Low:, 5/28/2015 12:00:00 AM, 101.26, 101.71, 99.91, 100.82
 Date:, 5/28/2015 12:00:00 AM
  Low:, 99.91
gains:, 904.00
 loss:, 0
  sum:, 904.00
