Current:, 6/27/2014 12:00:00 AM, 105.47, 105.59, 104.45, 104.99, Position:, 6/30/2014 12:00:00 AM, 105.62, 106.00, 104.52, 104.62, Low:, 104.45, Value:, 292.50
Current:, 7/15/2014 12:00:00 AM, 105.23, 105.47, 102.77, 103.28, Position:, 7/18/2014 12:00:00 AM, 100.67, 101.96, 100.37, 101.80, Low:, 100.26, Value:, 250.0
Current:, 7/31/2014 12:00:00 AM, 101.77, 101.84, 100.05, 100.09, Position:, 8/4/2014 12:00:00 AM, 99.99, 100.38, 99.32, 100.16, Low:, 98.80, Value:, 297.50
Current:, 10/14/2014 12:00:00 AM, 100.53, 100.90, 95.34, 97.01, Position:, 10/16/2014 12:00:00 AM, 96.97, 98.00, 96.50, 96.78, Low:, 95.10, Value:, 467.50
 Date:, 5/26/2015 12:00:00 AM
  Low:, 95.10
gains:, 1307.50
 loss:, 0
  sum:, 1307.50
