Current:, 4/27/2015 12:00:00 AM, 640.13, 646.21997, 636.09003, 643.75, Position:, 4/28/2015 12:00:00 AM, 643.75, 646.96997, 636.44, 639.58002, Low:, 636.09003, Value:, 1914.99250
Current:, 4/29/2015 12:00:00 AM, 637.70001, 638.70001, 626.75, 630.07001, Position:, 5/1/2015 12:00:00 AM, 628.96002, 634.00, 626.91998, 634.00, Low:, 619.71997, Value:, 2310.01250
Current:, 5/6/2015 12:00:00 AM, 625.33002, 627.82001, 618.46997, 627.22998, Position:, 5/7/2015 12:00:00 AM, 627.00, 633.40997, 625.39001, 628.82001, Low:, 618.46997, Value:, 2132.50750
 Date:, 5/26/2015 12:00:00 AM
  Low:, 618.46997
gains:, 6357.51250
 loss:, 0
  sum:, 6357.51250
