Current:, 4/27/2015 12:00:00 AM, 20.69, 21.64, 20.62, 21.45, Position:, 4/28/2015 12:00:00 AM, 21.63, 22.22, 20.73, 20.77, Low:, 20.62, Value:, 505.00
Current:, 5/4/2015 12:00:00 AM, 20.63, 21.06, 20.48, 20.82, Position:, 5/5/2015 12:00:00 AM, 20.91, 21.53, 20.77, 21.47, Low:, 20.48, Value:, 500.0
Current:, 5/14/2015 12:00:00 AM, 20.43, 20.54, 20.24, 20.26, Position:, 5/26/2015 12:00:00 AM, 18.88, 19.58, 18.81, 19.39, Low:, 18.45, Value:, 500.0
 Date:, 5/26/2015 12:00:00 AM
  Low:, 18.45
gains:, 752.50
 loss:, 0
  sum:, 752.50
